id,target
Id_hg4i94kfbg,0.0
Id_j1afeth58t,0.0
Id_bahkipht8j,0.0
Id_t1iry5orn0,0.0
Id_dnlh2w774v,0.0
Id_chj1tjcd0m,0.0
Id_iu85a0ymec,0.0
Id_7jy9rm4wht,0.0
Id_2p7fly8s82,0.0
Id_ffob32ovve,0.0
Id_p5zab4sjjw,0.0
Id_mspbih3i8l,0.0
Id_ow3luvubb3,0.0
Id_f8tbwd15yl,0.0
Id_njz9rj9x13,0.0
Id_jyw5ynb9cw,0.0
Id_hfn4fgi58i,0.0
Id_0ulwd5m1em,0.0
Id_0acrwfsyzg,0.0
Id_blgd0uo0c2,0.0
Id_w47xl3deb5,0.0
Id_7ur1clfbik,0.0
Id_ild46d7gg3,0.0
Id_gcaogs2cwj,0.0
Id_umz3ecv23u,0.0
Id_rttffg0ysc,0.0
Id_wm2tn2lqi1,0.0
Id_g89hcmhgbx,0.0
Id_48bn1pb402,0.0
Id_owjz5mqbjf,0.0
Id_iiqrl807ym,0.0
Id_nr06qq2fa4,0.0
Id_0sgyvi4grj,0.0
Id_knb80ai5dt,0.0
Id_fwkvga3e3j,0.0
Id_fgvi590zg1,0.0
Id_fvwl7ht3qa,0.0
Id_go225xvpyg,0.0
Id_whkqoyqb4h,0.0
Id_xrurflmyo3,0.0
Id_4wqaini4zg,0.0
Id_pjq661pbo1,0.0
Id_ig6qkpvjmw,0.0
Id_2hy5d5ua2j,0.0
Id_z8cv3ol7oz,0.0
Id_j5ivmdoj0p,0.0
Id_ybokoze5xi,0.0
Id_235o91mhd1,0.0
Id_948vxzusro,0.0
Id_f29bw4igv6,0.0
Id_17vvjnz147,0.0
Id_f6sz9tic44,0.0
Id_f5mxzsne0w,0.0
Id_asmwd6tpdy,0.0
Id_2eecw3j13x,0.0
Id_3qwezxjdmo,0.0
Id_3qoiwaincg,0.0
Id_pr9h787plq,0.0
Id_4ziis3677i,0.0
Id_zbklxuuqun,0.0
Id_9hwirbb93z,0.0
Id_7tdf5b1d3g,0.0
Id_xrskzul0b9,0.0
Id_l2cx2icydv,0.0
Id_a0hlxlnf83,0.0
Id_1s8a2ws33i,0.0
Id_pwtb67zkjv,0.0
Id_zaqu2vii97,0.0
Id_ftrgt154p6,0.0
Id_0caaw8dcmw,0.0
Id_e3y6at2r64,0.0
Id_vv7rwovk76,0.0
Id_osrdb2lxze,0.0
Id_u2l8agz0fr,0.0
Id_re6e3vh4uh,0.0
Id_q7s0i5m179,0.0
Id_ws6aaful8k,0.0
Id_pvvzu1b2hv,0.0
Id_tjm33r7mo1,0.0
Id_3mop3266ct,0.0
Id_vushb193tt,0.0
Id_xp44w9cvas,0.0
Id_f8iv1kynmk,0.0
Id_ot4qwor2ta,0.0
Id_lznaw3e7t3,0.0
Id_hsk931d44l,0.0
Id_jx350g2cv8,0.0
Id_wl4ymwl2ee,0.0
Id_bhp7c2exzl,0.0
Id_9xrjwgx8x6,0.0
Id_klc82809jm,0.0
Id_hwym1swhjx,0.0
Id_vyrokab3ty,0.0
Id_v8pe3vund9,0.0
Id_sjsn6kl2bu,0.0
Id_j29bnwmjc2,0.0
Id_ir92sreprh,0.0
Id_gi2yi1zy2j,0.0
Id_uzc9pcqsj5,0.0
Id_u01bgafowo,0.0
Id_t52wk9c5sl,0.0
Id_owq5j789r9,0.0
Id_yf728nepds,0.0
Id_xtxb93mh1q,0.0
Id_fythe6lz4e,0.0
Id_l7t307suqd,0.0
Id_jejhl0y7f9,0.0
Id_shzx7sywym,0.0
Id_difye4lncc,0.0
Id_roj9c9yzsh,0.0
Id_vxr14nvrkd,0.0
Id_jgz0lh1vdq,0.0
Id_cecj1kvk9v,0.0
Id_ywxr21h3m6,0.0
Id_paqh6rc397,0.0
Id_70b9ho2q5x,0.0
Id_zea9r4dz6h,0.0
Id_f5zyjw2qdx,0.0
Id_tpweetjrny,0.0
Id_pck70l9o7b,0.0
Id_hpg2zp0ej0,0.0
Id_fzh2ixxo7m,0.0
Id_so4svfejet,0.0
Id_534ldhphmt,0.0
Id_tu9ckpscq0,0.0
Id_sfo0rjlu1g,0.0
Id_vjbgbbjbj1,0.0
Id_pxlb84zn8p,0.0
Id_v53pbxmx15,0.0
Id_qqcpq1dylz,0.0
Id_03cyvz9v3q,0.0
Id_cu31zgmm7f,0.0
Id_b0vdyzwo9t,0.0
Id_i3f84uhng9,0.0
Id_4moiayk1hc,0.0
Id_gr85szeotc,0.0
Id_4zqrqxfzmd,0.0
Id_xltkq8ellb,0.0
Id_dhi0k2f04j,0.0
Id_c510bvje3q,0.0
Id_zavpprw6tk,0.0
Id_9ead1xyj56,0.0
Id_9hkg9tx7ug,0.0
Id_lyvrajcwpl,0.0
Id_bhuh6xcxat,0.0
Id_uiagh37fld,0.0
Id_l32fmjygbo,0.0
Id_f3q9cgzuwg,0.0
Id_i4mul4elqh,0.0
Id_vgo65dckrq,0.0
Id_2assoso7ld,0.0
Id_5z9i2g8wly,0.0
Id_7l64lmuc05,0.0
Id_tcnx4v6em2,0.0
Id_gx8pmqyue6,0.0
Id_unwibtn8x0,0.0
Id_olxbbge5xz,0.0
Id_w8jds5ccav,0.0
Id_5urulwrboq,0.0
Id_fu9woi47rv,0.0
Id_oht9e1341h,0.0
Id_35fsw75qx8,0.0
Id_9r9l7shrj6,0.0
Id_mkirgmkdqu,0.0
Id_s6mrxng6sk,0.0
Id_uaotxvz54x,0.0
Id_5l0eo5b1a1,0.0
Id_vcpc4fxms2,0.0
Id_o0sspq9sr5,0.0
Id_u6c8tfkw75,0.0
Id_m6qr72033j,0.0
Id_xe8qbjd7v9,0.0
Id_v5f85aa4rj,0.0
Id_ywomhua1lj,0.0
Id_4b8aylp128,0.0
Id_xt7auskgxu,0.0
Id_mqhlbuffz5,0.0
Id_f25whfyty2,0.0
Id_gy7ip1r7x6,0.0
Id_rb12vlr5ve,0.0
Id_jjen4hxx4r,0.0
Id_tzzn3lbwzw,0.0
Id_zt9ex9gpd9,0.0
Id_eixr7ntwd2,0.0
Id_cjpaambfz7,0.0
Id_pwnejlyc6y,0.0
Id_8srt97oytl,0.0
Id_hhf41ktc93,0.0
Id_lc8u6emx7w,0.0
Id_sl3td39ri6,0.0
Id_dfkzy49rq4,0.0
Id_jnn7icmn9h,0.0
Id_xlaimpiaaj,0.0
Id_e6jb062m9s,0.0
Id_v8y8vhok8g,0.0
Id_7a0w8rjttk,0.0
Id_bip7ra6zeu,0.0
Id_cxkkd1zjvr,0.0
Id_bl102lplxz,0.0
Id_mibtzo7ipd,0.0
Id_2houw9ir4x,0.0
Id_6q3q2mo5vx,0.0
Id_wqm5oushe7,0.0
Id_q40xqcma2m,0.0
Id_r1wttrf2c4,0.0
Id_tp58mrueee,0.0
Id_ebqp9zjjgn,0.0
Id_wij1br1iff,0.0
Id_2m1bmgmx51,0.0
Id_md7s6ucc86,0.0
Id_np30x7ac2h,0.0
Id_l0625agyy8,0.0
Id_5t9uni1rlr,0.0
Id_xujri7q3fa,0.0
Id_r5qqi31lnh,0.0
Id_x5y7um5jyl,0.0
Id_b9amggbcdi,0.0
Id_ykm9vivv6x,0.0
Id_atx4vv86of,0.0
Id_t5s808ihcl,0.0
Id_x9dl7jmkrb,0.0
Id_kwe3yh1jgx,0.0
Id_jy5ryb5dp0,0.0
Id_6nrsrrcyhz,0.0
Id_qw9sgxbr1p,0.0
Id_4tvl6saxkp,0.0
Id_ct2we5o0mn,0.0
Id_e96pv7ghat,0.0
Id_994c5n7r6e,0.0
Id_e1c8y1kfsy,0.0
Id_cqi7n77azi,0.0
Id_ampwqqlicu,0.0
Id_42236zoyuv,0.0
Id_rnqj4afqkc,0.0
Id_gng2jftscc,0.0
Id_5mg2ofoczv,0.0
Id_dv84eq0i7q,0.0
Id_544jg651ow,0.0
Id_flcmq41zwl,0.0
Id_t8uxh7ka2l,0.0
Id_fqvva4lwkt,0.0
Id_96og31tfco,0.0
Id_7jccm4azsa,0.0
Id_gxa8uzweqm,0.0
Id_mo1hx3g0ot,0.0
Id_13lbxbxxul,0.0
Id_4a6flzkb15,0.0
Id_s1v0i86ca4,0.0
Id_1v0fw9o76n,0.0
Id_ryetuxs1e6,0.0
Id_9y6did9keb,0.0
Id_7av43bl9mp,0.0
Id_bmzqwwy8yf,0.0
Id_4q2d4txsr6,0.0
Id_q6p1vx97hp,0.0
Id_dxdf9ia7qq,0.0
Id_g1m20miszr,0.0
Id_yfmhmd2frq,0.0
Id_fkek2f91rk,0.0
Id_3y316r01td,0.0
Id_hjocie9i0m,0.0
Id_jvkvryb9y0,0.0
Id_h1karh9kmp,0.0
Id_y0ixh7oalf,0.0
Id_at2nijrj0r,0.0
Id_37tbsh6nuk,0.0
Id_hdwtshujtk,0.0
Id_vwcxy2pom5,0.0
Id_1cii32aqj4,0.0
Id_xztmv1vxf8,0.0
Id_t47f0t5crk,0.0
Id_2vxu7q8s7n,0.0
Id_1ko883hl7s,0.0
Id_qvbk276aa8,0.0
Id_ad0axat5vu,0.0
Id_trt220b4f1,0.0
Id_9h05j9tcd9,0.0
Id_eny3j9ixj8,0.0
Id_h5jvt05vf6,0.0
Id_1afruhh0jg,0.0
Id_k613dj765t,0.0
Id_rxiaj8eao9,0.0
Id_083qv217po,0.0
Id_xq16epg4zs,0.0
Id_zon7t4zmg4,0.0
Id_wf3j22akno,0.0
Id_ejtu0netf9,0.0
Id_fkkjtg1wuq,0.0
Id_gbvzhk8jq6,0.0
Id_frdn64lp3w,0.0
Id_agfu3gjni5,0.0
Id_hgub73eyun,0.0
Id_v8tn7ek2jo,0.0
Id_gl8tjcw6s3,0.0
Id_ts280vx8ri,0.0
Id_xkuh7t9kdh,0.0
Id_u23unigd1n,0.0
Id_tcps5p9b2l,0.0
Id_fesiguljme,0.0
Id_mx43d8hlwf,0.0
Id_k46qj9ufky,0.0
Id_m2lnt67qz5,0.0
Id_09qacw0wcd,0.0
Id_sg94zhqto5,0.0
Id_3kx7y8r3m1,0.0
Id_cbxnebc39a,0.0
Id_lb3z5wl6e3,0.0
Id_nfopaw63md,0.0
Id_xl82o679fv,0.0
Id_vuudfu7e6p,0.0
Id_1u1j5wwgql,0.0
Id_r4nwu1oqge,0.0
Id_exgnp47mhg,0.0
Id_zbeqllnu6r,0.0
Id_ykw176l05k,0.0
Id_y6blhtrlla,0.0
Id_2vvwf15fb3,0.0
Id_r5cymcv10o,0.0
Id_6glkwde0c3,0.0
